imagen;id_pez;profundidad de cabeza;profundidad cuerpo;profundidad cola;longitud proyectada estimada (px);longitud proyectada estimada (m);longitud real estimada (m);longitud real (m);error absoluto (mm)
corrected_2.jpg;28;0.894159191442693;0.901508445070989;0.9039851166233819;62.64982043070834;0.027049711894291575;0.028779084753005536;0.04;11.220915246994464
corrected_2.jpg;29;0.8917359958019269;0.8893258985159757;0.8893258985159757;38.47076812334269;0.016385692910774054;0.016561989647803203;0.04;23.438010352196798
corrected_2.jpg;30;2.632404659607288;2.6752079874057806;2.788564258058568;51.62363799656123;0.06614228175202116;0.16958956814565188;0.04;129.58956814565187
corrected_2.jpg;31;0.964957719797393;0.9621362059968158;0.9621362059968158;36.235341863986875;0.016697134083693003;0.016933848550629887;0.04;23.066151449370114
corrected_2.jpg;32;0.8569025584659141;0.8569025584659141;0.8569025584659141;47.43416490252569;0.019466851341919843;0.019466851341919843;0.04;20.533148658080158
corrected_2.jpg;33;0.852462648836557;0.8546768375348338;0.8569025584659141;37.64306044943742;0.015408482637794393;0.016035402543000583;0.04;23.964597456999417
corrected_2.jpg;34;0.9706506856959026;0.9706506856959026;0.9677958307379736;38.948684188300895;0.01810626072995373;0.018329944747649308;0.04;21.670055252350693
corrected_2.jpg;35;0.8893258985159757;0.8917359958019269;0.8917359958019269;40.718546143004666;0.01739007979059703;0.01755629357384641;0.04;22.443706426153593
corrected_2.jpg;36;0.8917359958019269;0.901508445070989;0.9039851166233819;63.50590523722971;0.02741933541777949;0.030030999244968517;0.04;9.969000755031484
corrected_2.jpg;37;0.8458883867632674;0.8480685114714202;0.8458883867632674;53.48831648126533;0.021725154869438063;0.021725154869438063;0.04;18.27484513056194
corrected_2.jpg;38;0.964957719797393;0.9593311441717522;0.9621362059968158;43.829214001622255;0.020137485472153643;0.020334189466709666;0.04;19.665810533290333
corrected_2.jpg;39;0.8728132160501618;0.8728132160501618;0.8751345277949761;48.75448697299562;0.020380222373293844;0.020511995324724502;0.04;19.488004675275498
corrected_2.jpg;40;0.8502599029739303;0.8502599029739303;0.852462648836557;49.72926703662542;0.020250547568018747;0.020369996714283217;0.04;19.630003285716782
corrected_2.jpg;41;0.9428383451315502;0.9401445212883172;0.9428383451315502;41.14608122288197;0.018526616529663247;0.018526616529663247;0.04;21.473383470336753
corrected_2.jpg;42;0.841561591946064;0.841561591946064;0.841561591946064;54.56189146281496;0.021991170092814566;0.021991170092814566;0.04;18.008829907185437
corrected_2.jpg;43;0.8458883867632674;0.8458883867632674;0.8480685114714202;55.17245689653489;0.022351588865781737;0.022457659463266343;0.04;17.542340536733658
corrected_2.jpg;44;0.9321546245068301;0.9321546245068301;0.9321546245068301;35.73513677041127;0.01595351632107645;0.01595351632107645;0.04;24.04648367892355
corrected_2.jpg;45;0.9217103149885463;0.9242993889070534;0.9242993889070534;39.824615503479755;0.01762938942527577;0.017818492508164634;0.04;22.18150749183537
corrected_2.jpg;46;0.8705041863780715;0.8705041863780715;0.8728132160501618;44.654227123532216;0.018616860944627663;0.018759507708311442;0.04;21.240492291688557
corrected_2.jpg;47;0.9295214193528559;0.9321546245068301;0.9321546245068301;37.20215047547655;0.01660844671178312;0.01681589342143484;0.04;23.18410657856516
corrected_2.jpg;48;0.9593311441717522;0.9593311441717522;0.9565423908456715;37.64306044943742;0.017295235613850848;0.017518627801638494;0.04;22.48137219836151
corrected_2.jpg;49;0.8458883867632674;0.8546768375348338;0.8569025584659141;52.43090691567332;0.02146161096489805;0.02412286723223457;0.04;15.87713276776543
corrected_2.jpg;50;0.9455476507210087;0.9428383451315502;0.9455476507210087;59.36328831862332;0.026805764674411252;0.026805764674411252;0.04;13.19423532558875
corrected_2.jpg;51;0.8774682198690961;0.8751345277949761;0.8751345277949761;46.32493928760188;0.01941613091540663;0.019555875291610427;0.04;20.444124708389573
corrected_2.jpg;52;0.841561591946064;0.841561591946064;0.8437194421818232;47.80167361086848;0.019266464319959254;0.01938692768419558;0.04;20.61307231580442
corrected_2.jpg;53;1.0718260014687655;1.0648886163459903;1.0718260014687655;48.27007354458868;0.02461813556052385;0.02461813556052385;0.04;15.381864439476152
corrected_2.jpg;54;0.8682073415591319;0.8682073415591319;0.8705041863780715;41.036569057366385;0.017063476211523897;0.017217366713395264;0.04;22.782633286604735
